,Ferreira e Melo 2016_NA,Vogel et al 2016_2,Vogel et al 2015_2,Becker et al 2013_5,Santos-Jr. et al 2016_7,Santos-Jr. et al 2016_9,Becker et al 2013_10,Parrota et al 1997_11,Silva et al. 2015_15,Becker et al 2013_20,Santos-Jr. et al 2016_21,Rosa et al 2013_23,Silva et al. 2015_25,Silva et al. 2015_57
Crotophaga ani,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Crypturellus obsoletus,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Crypturellus parvirostris,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crypturellus tataupa,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Crypturellus variegatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cyanocorax chrysops,0,0,0,1,1,0,1,0,0,1,1,0,0,0
Cyanocorax cristatellus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanoloxia brissonii,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Cyanoloxia glaucocaerulea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cyclarhis gujanensis,0,0,0,1,1,1,1,0,0,1,1,0,0,0
Dacnis cayana,0,0,0,0,1,1,0,0,0,0,1,0,1,1
Dendrocolaptes platyrostris,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Drymophila malura,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drymophila rubricollis,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dryocopus lineatus,0,0,0,0,1,1,0,1,0,0,1,0,0,0
Dysithamnus mentalis,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Elaenia flavogaster,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Elaenia mesoleuca,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Elaenia parvirostris,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Elanus leucurus,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eleoscytalopus indigoticus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Emberizoides herbicola,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Embernagra platensis,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Empidonomus varius,0,1,1,0,1,0,0,1,0,1,0,0,1,1
Estrilda astrild,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Euphonia chlorotica,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Euphonia cyanocephala,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Euscarthmus meloryphus,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Falco femoralis,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Fluvicola nengeta,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Forpus xanthopterygius,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Furnarius rufus,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Galbula ruficauda,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Geothlypis aequinoctialis,0,1,1,1,1,0,1,0,0,0,1,0,0,0
Geotrygon montana,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Geranoaetus albicaudatus ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Geranospiza caerulescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Glaucidium brasilianum,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gnorimopsar chopi,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Griseotyrannus aurantioatrocristatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Guira guira ,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Habia rubica,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hemithraupis flavicollis,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hemithraupis guira,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Hemitriccus obsoletus ,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Herpetotheres cachinnans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirundinea ferruginea,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hylocharis chrysura,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Hypoedaleus guttatus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Icterus pyrropterus,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Ictinia plumbea,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Lathrotriccus euleri,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Legatus leucophaius,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Lepidocolaptes angustirostris,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lepidocolaptes falcinellus,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptodon cayanensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Leptopogon amaurocephalus,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Leptotila rufaxilla,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Leptotila verreauxi,0,0,1,1,1,1,1,1,0,1,1,0,1,1
Lipaugus vociferans,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lurocalis semitorquatus ,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Machetornis rixosa,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mackenziaena severa,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Megarynchus pitangua,0,1,1,0,1,1,0,1,1,1,1,1,1,0
Megascops choliba,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Melanerpes candidus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Melanerpes flavifrons,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Microspingus cabanisi,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Milvago chimachima,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Mimus saturninus ,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Molothrus bonariensis,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Myiarchus ferox,0,0,0,0,1,0,0,0,1,0,1,1,1,0
Myiarchus swainsoni,0,0,0,0,0,1,1,0,0,0,1,1,0,0
Myiodynastes maculatus,0,0,0,0,1,1,1,0,1,1,1,1,1,0
Myiopagis caniceps,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Myiopagis viridicata,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Myiophobus fasciatus,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Myiornis auricularis,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Myiothlypis flaveola,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Myiothlypis leucoblephara,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Myiozetetes similis,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Nemosia pileata,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Neothraupis fasciata,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothura maculosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nyctidromus albicollis,0,0,1,0,1,1,0,0,0,0,1,0,0,0
Ortalis motmot,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pachyramphus polychopterus,0,0,0,1,1,0,1,0,0,1,1,0,0,0
Pachyramphus validus,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Patagioenas cayennensis,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Patagioenas picazuro,1,0,1,0,1,1,1,0,1,0,1,0,0,1
Patagioenas plumbea,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Penelope superciliaris,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Phaeomyias murina,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phaethornis eurynome,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phaethornis pretrei,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Phyllomyias fasciatus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phylloscartes paulista,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phylloscartes ventralis,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Piaya cayana,0,0,0,0,1,1,1,0,0,1,1,0,0,0
Piculus aurulentus,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Picumnus cirratus,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Picumnus temminckii,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Pionus maximiliani,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Pipra erythrocephala,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pipraeidea melanonota,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Pitangus sulphuratus,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Poecilotriccus plumbeiceps,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Progne tapera,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Psarocolius viridis,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pseudoleistes guirahuro,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Psittacara leucophthalmus,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Pteroglossus bailloni,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pteroglossus viridis,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pyriglena leucoptera,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pyrocephalus rubinus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pyroderus scutatus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pyrrhocoma ruficeps,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Pyrrhura frontalis,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Ramphastos dicolorus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ramphastos toco,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ramphastos tucanus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ramphastos vitellinus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ramphocelus carbo,0,0,0,0,1,0,0,1,1,0,0,0,1,1
Rupornis magnirostris,1,1,1,0,1,0,1,0,0,1,1,0,0,0
Saltator fuliginosus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saltator similis,0,1,1,1,0,1,1,0,0,1,1,0,0,0
Saltatricula atricollis,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Satrapa icterophrys,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Selenidera maculirostris,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Selenidera piperivora,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Serpophaga subcristata,0,0,1,1,1,0,1,0,0,1,0,0,0,0
Setophaga pitiayumi,0,0,0,1,1,1,1,0,0,1,1,0,0,0
Sicalis flaveola,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Sicalis luteola,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Sirystes sibilator,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Sittasomus griseicapillus,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Spinus magellanicus,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Sporophila caerulescens,0,1,1,1,1,0,1,0,0,1,0,0,0,0
Sporophila nigricollis,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sporophila plumbea,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Synallaxis cinerascens,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Synallaxis frontalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Synallaxis ruficapilla,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Synallaxis spixi,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Syndactyla rufosuperciliata,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Syrigma sibilatrix,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachyphonus coronatus,0,0,1,0,1,1,0,0,1,0,1,0,1,1
Tangara cayana,1,0,0,0,1,1,0,0,1,0,1,0,1,1
Tangara episcopus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tangara palmarum,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Tangara sayaca,0,1,1,0,1,1,1,0,1,1,1,0,1,1
Tapera naevia,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Tersina viridis,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Thalurania furcata,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalurania glaucopis,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Thamnophilus caerulescens,0,0,0,1,1,1,1,0,0,1,1,0,0,0
Thamnophilus doliatus,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Thamnophilus ruficapillus,0,0,1,1,0,1,1,0,0,1,0,0,0,0
Theristicus caudatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thlypopsis sordida,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Tityra cayana,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tityra inquisitor ,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Todirostrum cinereum,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Tolmomyias sulphurescens,0,0,0,0,0,1,1,0,0,0,1,1,0,0
Trichothraupis melanops,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Troglodytes musculus,0,1,1,1,1,0,1,0,0,1,1,0,0,0
Trogon melanurus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trogon rufus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Trogon surrucura,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Trogon violaceus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trogon viridis ,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Turdus albicollis,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Turdus amaurochalinus,0,1,1,1,1,0,1,0,1,0,1,0,1,1
Turdus leucomelas,0,0,1,0,1,1,0,0,1,0,1,0,1,1
Turdus rufiventris,0,1,1,1,0,0,1,0,0,1,1,0,0,0
Turdus subalaris,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tyrannus albogularis,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrannus melancholicus,1,1,1,0,1,1,1,1,1,1,0,0,1,0
Tyrannus savana,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Veniliornis spilogaster,0,0,0,1,0,1,1,0,0,1,1,0,0,0
Vireo chivi,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Volatinia jacarina,0,1,1,1,1,0,0,0,0,1,0,0,1,0
Xenops rutilans,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Xiphocolaptes albicollis,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Xolmis velatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenaida auriculata,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Zonotrichia capensis,1,0,0,1,0,0,1,0,1,1,1,0,1,0
